2025-03-17 19:11:58,179 - Training started...
2025-03-17 19:12:13,474 - Epoch 1/16, Training Loss: 0.6393
2025-03-17 19:12:16,403 - Epoch 1/16, Validation Accuracy: 0.64
2025-03-17 19:12:32,213 - Epoch 2/16, Training Loss: 0.2009
2025-03-17 19:12:35,149 - Epoch 2/16, Validation Accuracy: 0.68
2025-03-17 19:12:51,891 - Epoch 3/16, Training Loss: 0.0921
2025-03-17 19:12:54,694 - Epoch 3/16, Validation Accuracy: 0.71
2025-03-17 19:13:12,107 - Epoch 4/16, Training Loss: 0.0430
2025-03-17 19:13:15,426 - Epoch 4/16, Validation Accuracy: 0.70
2025-03-17 19:13:35,185 - Epoch 5/16, Training Loss: 0.0318
2025-03-17 19:13:38,555 - Epoch 5/16, Validation Accuracy: 0.69
2025-03-17 19:13:56,451 - Epoch 6/16, Training Loss: 0.0142
2025-03-17 19:13:59,620 - Epoch 6/16, Validation Accuracy: 0.70
2025-03-17 19:14:17,917 - Epoch 7/16, Training Loss: 0.0126
2025-03-17 19:14:20,985 - Epoch 7/16, Validation Accuracy: 0.72
2025-03-17 19:14:41,424 - Epoch 8/16, Training Loss: 0.0154
2025-03-17 19:14:44,619 - Epoch 8/16, Validation Accuracy: 0.67
2025-03-17 19:15:04,020 - Epoch 9/16, Training Loss: 0.0092
2025-03-17 19:15:06,875 - Epoch 9/16, Validation Accuracy: 0.70
2025-03-17 19:15:26,394 - Epoch 10/16, Training Loss: 0.0151
2025-03-17 19:15:29,192 - Epoch 10/16, Validation Accuracy: 0.68
2025-03-17 19:15:48,560 - Epoch 11/16, Training Loss: 0.0047
2025-03-17 19:15:51,363 - Epoch 11/16, Validation Accuracy: 0.67
2025-03-17 19:16:10,918 - Epoch 12/16, Training Loss: 0.0056
2025-03-17 19:16:13,847 - Epoch 12/16, Validation Accuracy: 0.68
2025-03-17 19:16:33,247 - Epoch 13/16, Training Loss: 0.0160
2025-03-17 19:16:36,098 - Epoch 13/16, Validation Accuracy: 0.69
2025-03-17 19:16:55,480 - Epoch 14/16, Training Loss: 0.0148
2025-03-17 19:16:58,314 - Epoch 14/16, Validation Accuracy: 0.64
2025-03-17 19:17:17,674 - Epoch 15/16, Training Loss: 0.0124
2025-03-17 19:17:20,492 - Epoch 15/16, Validation Accuracy: 0.64
2025-03-17 19:17:39,932 - Epoch 16/16, Training Loss: 0.0113
2025-03-17 19:17:42,886 - Epoch 16/16, Validation Accuracy: 0.66
2025-03-17 19:17:42,897 - Model saved to model.pth
2025-03-17 19:17:42,897 - Training completed in 5 minutes and 45 seconds.
