2025-03-27 15:40:19,648 - Training started...
2025-03-27 15:43:28,495 - Epoch 1/16, Training Loss: 0.5828
2025-03-27 15:43:31,296 - Epoch 1/16, Validation Accuracy: 0.48
2025-03-27 15:43:52,869 - Epoch 2/16, Training Loss: 0.3263
2025-03-27 15:43:55,286 - Epoch 2/16, Validation Accuracy: 0.47
2025-03-27 15:44:18,273 - Epoch 3/16, Training Loss: 0.2392
2025-03-27 15:44:21,179 - Epoch 3/16, Validation Accuracy: 0.49
2025-03-27 15:44:43,067 - Epoch 4/16, Training Loss: 0.2025
2025-03-27 15:44:45,579 - Epoch 4/16, Validation Accuracy: 0.43
2025-03-27 15:45:07,828 - Epoch 5/16, Training Loss: 0.1648
2025-03-27 15:45:10,276 - Epoch 5/16, Validation Accuracy: 0.42
2025-03-27 15:45:31,960 - Epoch 6/16, Training Loss: 0.1378
2025-03-27 15:45:34,423 - Epoch 6/16, Validation Accuracy: 0.47
2025-03-27 15:45:56,035 - Epoch 7/16, Training Loss: 0.1255
2025-03-27 15:45:58,501 - Epoch 7/16, Validation Accuracy: 0.48
2025-03-27 15:46:20,302 - Epoch 8/16, Training Loss: 0.1056
2025-03-27 15:46:22,754 - Epoch 8/16, Validation Accuracy: 0.41
2025-03-27 15:46:44,737 - Epoch 9/16, Training Loss: 0.0926
2025-03-27 15:46:47,199 - Epoch 9/16, Validation Accuracy: 0.43
2025-03-27 15:47:10,181 - Epoch 10/16, Training Loss: 0.0726
2025-03-27 15:47:12,626 - Epoch 10/16, Validation Accuracy: 0.44
2025-03-27 15:47:34,892 - Epoch 11/16, Training Loss: 0.0727
2025-03-27 15:47:37,994 - Epoch 11/16, Validation Accuracy: 0.42
2025-03-27 15:48:00,242 - Epoch 12/16, Training Loss: 0.0615
2025-03-27 15:48:02,670 - Epoch 12/16, Validation Accuracy: 0.40
2025-03-27 15:48:24,887 - Epoch 13/16, Training Loss: 0.0444
2025-03-27 15:48:27,305 - Epoch 13/16, Validation Accuracy: 0.41
2025-03-27 15:48:49,056 - Epoch 14/16, Training Loss: 0.0434
2025-03-27 15:48:51,505 - Epoch 14/16, Validation Accuracy: 0.44
2025-03-27 15:49:13,764 - Epoch 15/16, Training Loss: 0.0385
2025-03-27 15:49:16,431 - Epoch 15/16, Validation Accuracy: 0.46
2025-03-27 15:49:39,169 - Epoch 16/16, Training Loss: 0.0426
2025-03-27 15:49:41,615 - Epoch 16/16, Validation Accuracy: 0.47
2025-03-27 15:49:41,761 - Model saved to model.pth
2025-03-27 15:49:41,761 - Training completed in 9 minutes and 22 seconds.
