2025-03-18 18:44:03,696 - Training started...
2025-03-18 18:44:04,457 - Model loaded from model.pth
2025-03-18 18:44:30,790 - Epoch 1/16, Training Loss: 0.0236
2025-03-18 18:44:34,457 - Epoch 1/16, Validation Accuracy: 0.63
2025-03-18 18:45:00,846 - Epoch 2/16, Training Loss: 0.0198
2025-03-18 18:45:04,261 - Epoch 2/16, Validation Accuracy: 0.57
2025-03-18 18:45:30,312 - Epoch 3/16, Training Loss: 0.0175
2025-03-18 18:45:33,763 - Epoch 3/16, Validation Accuracy: 0.55
2025-03-18 18:45:59,559 - Epoch 4/16, Training Loss: 0.0065
2025-03-18 18:46:03,002 - Epoch 4/16, Validation Accuracy: 0.63
2025-03-18 18:46:28,903 - Epoch 5/16, Training Loss: 0.0110
2025-03-18 18:46:32,289 - Epoch 5/16, Validation Accuracy: 0.67
2025-03-18 18:46:57,824 - Epoch 6/16, Training Loss: 0.0129
2025-03-18 18:47:01,337 - Epoch 6/16, Validation Accuracy: 0.60
2025-03-18 18:47:26,829 - Epoch 7/16, Training Loss: 0.0117
2025-03-18 18:47:30,384 - Epoch 7/16, Validation Accuracy: 0.61
2025-03-18 18:47:56,718 - Epoch 8/16, Training Loss: 0.0033
2025-03-18 18:48:00,204 - Epoch 8/16, Validation Accuracy: 0.49
2025-03-18 18:48:25,741 - Epoch 9/16, Training Loss: 0.0117
2025-03-18 18:48:29,113 - Epoch 9/16, Validation Accuracy: 0.64
2025-03-18 18:48:57,929 - Epoch 10/16, Training Loss: 0.0148
2025-03-18 18:49:02,013 - Epoch 10/16, Validation Accuracy: 0.63
2025-03-18 18:49:35,579 - Epoch 11/16, Training Loss: 0.0054
2025-03-18 18:49:40,826 - Epoch 11/16, Validation Accuracy: 0.64
2025-03-18 18:50:15,607 - Epoch 12/16, Training Loss: 0.0069
2025-03-18 18:50:20,314 - Epoch 12/16, Validation Accuracy: 0.69
2025-03-18 18:50:54,499 - Epoch 13/16, Training Loss: 0.0022
2025-03-18 18:50:59,723 - Epoch 13/16, Validation Accuracy: 0.64
2025-03-18 18:51:34,950 - Epoch 14/16, Training Loss: 0.0322
2025-03-18 18:51:39,203 - Epoch 14/16, Validation Accuracy: 0.63
2025-03-18 18:52:13,527 - Epoch 15/16, Training Loss: 0.0057
2025-03-18 18:52:19,346 - Epoch 15/16, Validation Accuracy: 0.65
2025-03-18 18:52:55,210 - Epoch 16/16, Training Loss: 0.0005
2025-03-18 18:52:59,746 - Epoch 16/16, Validation Accuracy: 0.66
2025-03-18 18:52:59,905 - Model saved to model.pth
2025-03-18 18:52:59,906 - Training completed in 8 minutes and 55 seconds.
