2025-03-27 15:56:51,645 - Training started...
2025-03-27 15:56:52,077 - Model loaded from model.pth
2025-03-27 15:57:18,261 - Epoch 1/16, Training Loss: 0.0825
2025-03-27 15:57:22,253 - Epoch 1/16, Validation Accuracy: 0.43
2025-03-27 15:57:49,251 - Epoch 2/16, Training Loss: 0.0492
2025-03-27 15:57:52,981 - Epoch 2/16, Validation Accuracy: 0.38
2025-03-27 15:58:19,431 - Epoch 3/16, Training Loss: 0.0735
2025-03-27 15:58:23,438 - Epoch 3/16, Validation Accuracy: 0.42
2025-03-27 15:58:50,160 - Epoch 4/16, Training Loss: 0.0688
2025-03-27 15:58:54,117 - Epoch 4/16, Validation Accuracy: 0.46
2025-03-27 15:59:21,695 - Epoch 5/16, Training Loss: 0.0251
2025-03-27 15:59:25,618 - Epoch 5/16, Validation Accuracy: 0.40
2025-03-27 15:59:53,137 - Epoch 6/16, Training Loss: 0.0435
2025-03-27 15:59:56,963 - Epoch 6/16, Validation Accuracy: 0.42
2025-03-27 16:00:24,793 - Epoch 7/16, Training Loss: 0.0189
2025-03-27 16:00:28,688 - Epoch 7/16, Validation Accuracy: 0.44
2025-03-27 16:00:56,780 - Epoch 8/16, Training Loss: 0.0231
2025-03-27 16:01:00,876 - Epoch 8/16, Validation Accuracy: 0.48
2025-03-27 16:01:28,393 - Epoch 9/16, Training Loss: 0.0295
2025-03-27 16:01:32,453 - Epoch 9/16, Validation Accuracy: 0.48
2025-03-27 16:01:59,779 - Epoch 10/16, Training Loss: 0.0237
2025-03-27 16:02:03,670 - Epoch 10/16, Validation Accuracy: 0.45
2025-03-27 16:02:31,172 - Epoch 11/16, Training Loss: 0.0229
2025-03-27 16:02:35,277 - Epoch 11/16, Validation Accuracy: 0.46
2025-03-27 16:03:02,807 - Epoch 12/16, Training Loss: 0.0181
2025-03-27 16:03:06,819 - Epoch 12/16, Validation Accuracy: 0.49
2025-03-27 16:03:34,598 - Epoch 13/16, Training Loss: 0.0365
2025-03-27 16:03:38,711 - Epoch 13/16, Validation Accuracy: 0.41
2025-03-27 16:04:06,224 - Epoch 14/16, Training Loss: 0.0427
2025-03-27 16:04:10,139 - Epoch 14/16, Validation Accuracy: 0.44
2025-03-27 16:04:37,620 - Epoch 15/16, Training Loss: 0.0134
2025-03-27 16:04:41,503 - Epoch 15/16, Validation Accuracy: 0.44
2025-03-27 16:05:08,971 - Epoch 16/16, Training Loss: 0.0146
2025-03-27 16:05:12,889 - Epoch 16/16, Validation Accuracy: 0.47
2025-03-27 16:05:12,947 - Model saved to model.pth
2025-03-27 16:05:12,947 - Training completed in 8 minutes and 21 seconds.
