2025-03-17 18:43:17,072 - Training started...
2025-03-17 18:43:34,563 - Epoch 1/16, Training Loss: 0.2577
2025-03-17 18:43:37,103 - Epoch 1/16, Validation Accuracy: 0.64
2025-03-17 18:43:54,778 - Epoch 2/16, Training Loss: 0.0886
2025-03-17 18:43:57,397 - Epoch 2/16, Validation Accuracy: 0.66
2025-03-17 18:44:15,039 - Epoch 3/16, Training Loss: 0.0532
2025-03-17 18:44:17,638 - Epoch 3/16, Validation Accuracy: 0.70
2025-03-17 18:44:35,263 - Epoch 4/16, Training Loss: 0.0394
2025-03-17 18:44:37,846 - Epoch 4/16, Validation Accuracy: 0.57
2025-03-17 18:44:55,320 - Epoch 5/16, Training Loss: 0.0390
2025-03-17 18:44:57,859 - Epoch 5/16, Validation Accuracy: 0.60
2025-03-17 18:45:16,273 - Epoch 6/16, Training Loss: 0.0202
2025-03-17 18:45:19,033 - Epoch 6/16, Validation Accuracy: 0.60
2025-03-17 18:45:36,988 - Epoch 7/16, Training Loss: 0.0237
2025-03-17 18:45:39,548 - Epoch 7/16, Validation Accuracy: 0.62
2025-03-17 18:45:57,049 - Epoch 8/16, Training Loss: 0.0273
2025-03-17 18:45:59,544 - Epoch 8/16, Validation Accuracy: 0.65
2025-03-17 18:46:16,844 - Epoch 9/16, Training Loss: 0.0147
2025-03-17 18:46:19,425 - Epoch 9/16, Validation Accuracy: 0.67
2025-03-17 18:46:37,045 - Epoch 10/16, Training Loss: 0.0215
2025-03-17 18:46:39,679 - Epoch 10/16, Validation Accuracy: 0.68
2025-03-17 18:46:57,048 - Epoch 11/16, Training Loss: 0.0195
2025-03-17 18:46:59,564 - Epoch 11/16, Validation Accuracy: 0.65
2025-03-17 18:47:16,994 - Epoch 12/16, Training Loss: 0.0181
2025-03-17 18:47:19,475 - Epoch 12/16, Validation Accuracy: 0.71
2025-03-17 18:47:36,696 - Epoch 13/16, Training Loss: 0.0151
2025-03-17 18:47:39,194 - Epoch 13/16, Validation Accuracy: 0.70
2025-03-17 18:48:17,349 - Epoch 14/16, Training Loss: 0.0216
2025-03-17 18:48:39,052 - Epoch 14/16, Validation Accuracy: 0.65
2025-03-17 18:50:25,035 - Epoch 15/16, Training Loss: 0.0142
2025-03-17 18:50:27,956 - Epoch 15/16, Validation Accuracy: 0.65
2025-03-17 18:50:45,233 - Epoch 16/16, Training Loss: 0.0176
2025-03-17 18:50:47,688 - Epoch 16/16, Validation Accuracy: 0.63
2025-03-17 18:50:47,734 - Model saved to model.pth
2025-03-17 18:50:47,734 - Training completed in 7 minutes and 30 seconds.
