2025-03-18 17:17:16,637 - Training started...
2025-03-18 17:17:37,264 - Epoch 1/16, Training Loss: 0.3043
2025-03-18 17:17:40,432 - Epoch 1/16, Validation Accuracy: 0.48
2025-03-18 17:18:02,637 - Epoch 2/16, Training Loss: 0.1005
2025-03-18 17:18:05,762 - Epoch 2/16, Validation Accuracy: 0.60
2025-03-18 17:18:26,685 - Epoch 3/16, Training Loss: 0.0680
2025-03-18 17:18:29,802 - Epoch 3/16, Validation Accuracy: 0.45
2025-03-18 17:18:50,687 - Epoch 4/16, Training Loss: 0.0565
2025-03-18 17:18:53,880 - Epoch 4/16, Validation Accuracy: 0.53
2025-03-18 17:19:14,856 - Epoch 5/16, Training Loss: 0.0342
2025-03-18 17:19:17,985 - Epoch 5/16, Validation Accuracy: 0.54
2025-03-18 17:19:39,006 - Epoch 6/16, Training Loss: 0.0330
2025-03-18 17:19:42,092 - Epoch 6/16, Validation Accuracy: 0.54
2025-03-18 17:20:03,052 - Epoch 7/16, Training Loss: 0.0416
2025-03-18 17:20:06,157 - Epoch 7/16, Validation Accuracy: 0.49
2025-03-18 17:20:27,181 - Epoch 8/16, Training Loss: 0.0225
2025-03-18 17:20:30,296 - Epoch 8/16, Validation Accuracy: 0.52
2025-03-18 17:20:51,296 - Epoch 9/16, Training Loss: 0.0145
2025-03-18 17:20:54,416 - Epoch 9/16, Validation Accuracy: 0.61
2025-03-18 17:21:15,235 - Epoch 10/16, Training Loss: 0.0288
2025-03-18 17:21:18,337 - Epoch 10/16, Validation Accuracy: 0.55
2025-03-18 17:21:39,520 - Epoch 11/16, Training Loss: 0.0278
2025-03-18 17:21:42,552 - Epoch 11/16, Validation Accuracy: 0.66
2025-03-18 17:22:02,875 - Epoch 12/16, Training Loss: 0.0201
2025-03-18 17:22:05,802 - Epoch 12/16, Validation Accuracy: 0.55
2025-03-18 17:22:25,378 - Epoch 13/16, Training Loss: 0.0151
2025-03-18 17:22:28,291 - Epoch 13/16, Validation Accuracy: 0.50
2025-03-18 17:22:48,160 - Epoch 14/16, Training Loss: 0.0243
2025-03-18 17:22:51,141 - Epoch 14/16, Validation Accuracy: 0.58
2025-03-18 17:23:10,970 - Epoch 15/16, Training Loss: 0.0125
2025-03-18 17:23:13,916 - Epoch 15/16, Validation Accuracy: 0.58
2025-03-18 17:23:34,003 - Epoch 16/16, Training Loss: 0.0172
2025-03-18 17:23:36,931 - Epoch 16/16, Validation Accuracy: 0.47
2025-03-18 17:23:36,975 - Model saved to model.pth
2025-03-18 17:23:36,975 - Training completed in 6 minutes and 20 seconds.
