2025-03-27 16:34:20,533 - Training started...
2025-03-27 16:34:21,029 - Model loaded from model.pth
2025-03-27 16:35:32,607 - Epoch 1/16, Training Loss: 0.2093
2025-03-27 16:35:41,317 - Epoch 1/16, Validation Accuracy: 0.53
2025-03-27 16:36:32,769 - Epoch 2/16, Training Loss: 0.0318
2025-03-27 16:36:41,057 - Epoch 2/16, Validation Accuracy: 0.55
2025-03-27 16:37:32,867 - Epoch 3/16, Training Loss: 0.0224
2025-03-27 16:37:41,083 - Epoch 3/16, Validation Accuracy: 0.56
2025-03-27 16:38:33,047 - Epoch 4/16, Training Loss: 0.0190
2025-03-27 16:38:42,357 - Epoch 4/16, Validation Accuracy: 0.55
2025-03-27 16:39:34,229 - Epoch 5/16, Training Loss: 0.0197
2025-03-27 16:39:42,441 - Epoch 5/16, Validation Accuracy: 0.56
2025-03-27 16:40:36,115 - Epoch 6/16, Training Loss: 0.0124
2025-03-27 16:40:44,417 - Epoch 6/16, Validation Accuracy: 0.52
2025-03-27 16:41:39,692 - Epoch 7/16, Training Loss: 0.0153
2025-03-27 16:41:49,496 - Epoch 7/16, Validation Accuracy: 0.54
2025-03-27 16:42:47,597 - Epoch 8/16, Training Loss: 0.0136
2025-03-27 16:42:57,009 - Epoch 8/16, Validation Accuracy: 0.56
2025-03-27 16:43:54,195 - Epoch 9/16, Training Loss: 0.0172
2025-03-27 16:44:04,001 - Epoch 9/16, Validation Accuracy: 0.55
2025-03-27 16:45:02,238 - Epoch 10/16, Training Loss: 0.0069
2025-03-27 16:45:12,085 - Epoch 10/16, Validation Accuracy: 0.56
2025-03-27 16:46:10,505 - Epoch 11/16, Training Loss: 0.0149
2025-03-27 16:46:20,382 - Epoch 11/16, Validation Accuracy: 0.56
2025-03-27 16:47:18,687 - Epoch 12/16, Training Loss: 0.0117
2025-03-27 16:47:28,520 - Epoch 12/16, Validation Accuracy: 0.54
2025-03-27 16:50:01,520 - Epoch 13/16, Training Loss: 0.0106
2025-03-27 16:50:48,074 - Epoch 13/16, Validation Accuracy: 0.56
2025-03-27 16:53:34,853 - Epoch 14/16, Training Loss: 0.0109
2025-03-27 16:53:45,295 - Epoch 14/16, Validation Accuracy: 0.51
2025-03-27 16:54:42,862 - Epoch 15/16, Training Loss: 0.0106
2025-03-27 16:54:52,247 - Epoch 15/16, Validation Accuracy: 0.56
2025-03-27 16:55:49,328 - Epoch 16/16, Training Loss: 0.0084
2025-03-27 16:55:59,088 - Epoch 16/16, Validation Accuracy: 0.55
2025-03-27 16:55:59,153 - Model saved to model.pth
2025-03-27 16:55:59,153 - Training completed in 21 minutes and 38 seconds.
