2025-03-30 20:53:13,504 - Training started...
2025-03-30 20:53:14,291 - Model loaded from model.pth
2025-03-30 20:54:27,671 - Epoch 1/32, Training Loss: 0.0134
2025-03-30 20:54:33,919 - Epoch 1/32, Validation Accuracy: 0.73
2025-03-30 20:55:46,882 - Epoch 2/32, Training Loss: 0.0112
2025-03-30 20:55:53,012 - Epoch 2/32, Validation Accuracy: 0.71
2025-03-30 20:57:05,744 - Epoch 3/32, Training Loss: 0.0097
2025-03-30 20:57:11,927 - Epoch 3/32, Validation Accuracy: 0.71
2025-03-30 20:58:24,997 - Epoch 4/32, Training Loss: 0.0087
2025-03-30 20:58:31,152 - Epoch 4/32, Validation Accuracy: 0.66
2025-03-30 20:59:44,068 - Epoch 5/32, Training Loss: 0.0077
2025-03-30 20:59:50,247 - Epoch 5/32, Validation Accuracy: 0.70
2025-03-30 21:01:03,212 - Epoch 6/32, Training Loss: 0.0119
2025-03-30 21:01:09,373 - Epoch 6/32, Validation Accuracy: 0.67
2025-03-30 21:02:22,310 - Epoch 7/32, Training Loss: 0.0067
2025-03-30 21:02:28,484 - Epoch 7/32, Validation Accuracy: 0.71
2025-03-30 21:03:41,538 - Epoch 8/32, Training Loss: 0.0048
2025-03-30 21:03:47,697 - Epoch 8/32, Validation Accuracy: 0.70
2025-03-30 21:05:00,673 - Epoch 9/32, Training Loss: 0.0094
2025-03-30 21:05:06,842 - Epoch 9/32, Validation Accuracy: 0.70
2025-03-30 21:06:19,793 - Epoch 10/32, Training Loss: 0.0096
2025-03-30 21:06:26,130 - Epoch 10/32, Validation Accuracy: 0.68
2025-03-30 21:07:46,699 - Epoch 11/32, Training Loss: 0.0102
2025-03-30 21:07:52,948 - Epoch 11/32, Validation Accuracy: 0.70
2025-03-30 21:09:06,566 - Epoch 12/32, Training Loss: 0.0064
2025-03-30 21:09:12,762 - Epoch 12/32, Validation Accuracy: 0.71
2025-03-30 21:10:26,631 - Epoch 13/32, Training Loss: 0.0024
2025-03-30 21:10:32,669 - Epoch 13/32, Validation Accuracy: 0.66
2025-03-30 21:11:42,865 - Epoch 14/32, Training Loss: 0.0091
2025-03-30 21:11:48,942 - Epoch 14/32, Validation Accuracy: 0.71
2025-03-30 21:12:59,217 - Epoch 15/32, Training Loss: 0.0066
2025-03-30 21:13:05,259 - Epoch 15/32, Validation Accuracy: 0.71
2025-03-30 21:14:15,702 - Epoch 16/32, Training Loss: 0.0171
2025-03-30 21:14:21,870 - Epoch 16/32, Validation Accuracy: 0.72
2025-03-30 21:15:32,028 - Epoch 17/32, Training Loss: 0.0038
2025-03-30 21:15:38,063 - Epoch 17/32, Validation Accuracy: 0.72
2025-03-30 21:16:48,372 - Epoch 18/32, Training Loss: 0.0030
2025-03-30 21:16:54,440 - Epoch 18/32, Validation Accuracy: 0.71
2025-03-30 21:18:04,846 - Epoch 19/32, Training Loss: 0.0130
2025-03-30 21:18:10,896 - Epoch 19/32, Validation Accuracy: 0.73
2025-03-30 21:19:21,060 - Epoch 20/32, Training Loss: 0.0040
2025-03-30 21:19:27,192 - Epoch 20/32, Validation Accuracy: 0.71
2025-03-30 21:20:37,206 - Epoch 21/32, Training Loss: 0.0092
2025-03-30 21:20:43,303 - Epoch 21/32, Validation Accuracy: 0.72
2025-03-30 21:21:53,396 - Epoch 22/32, Training Loss: 0.0050
2025-03-30 21:21:59,488 - Epoch 22/32, Validation Accuracy: 0.73
2025-03-30 21:23:09,694 - Epoch 23/32, Training Loss: 0.0038
2025-03-30 21:23:15,715 - Epoch 23/32, Validation Accuracy: 0.72
2025-03-30 21:24:25,925 - Epoch 24/32, Training Loss: 0.0030
2025-03-30 21:24:32,004 - Epoch 24/32, Validation Accuracy: 0.71
2025-03-30 21:25:42,298 - Epoch 25/32, Training Loss: 0.0188
2025-03-30 21:25:48,341 - Epoch 25/32, Validation Accuracy: 0.73
2025-03-30 21:26:58,503 - Epoch 26/32, Training Loss: 0.0314
2025-03-30 21:27:04,580 - Epoch 26/32, Validation Accuracy: 0.71
2025-03-30 21:28:14,832 - Epoch 27/32, Training Loss: 0.0019
2025-03-30 21:28:20,931 - Epoch 27/32, Validation Accuracy: 0.72
2025-03-30 21:29:31,218 - Epoch 28/32, Training Loss: 0.0003
2025-03-30 21:29:37,338 - Epoch 28/32, Validation Accuracy: 0.72
2025-03-30 21:30:47,524 - Epoch 29/32, Training Loss: 0.0003
2025-03-30 21:30:53,650 - Epoch 29/32, Validation Accuracy: 0.70
2025-03-30 21:32:03,746 - Epoch 30/32, Training Loss: 0.0005
2025-03-30 21:32:09,771 - Epoch 30/32, Validation Accuracy: 0.71
2025-03-30 21:33:19,983 - Epoch 31/32, Training Loss: 0.0000
2025-03-30 21:33:26,070 - Epoch 31/32, Validation Accuracy: 0.71
2025-03-30 21:34:36,354 - Epoch 32/32, Training Loss: 0.0119
2025-03-30 21:34:42,463 - Epoch 32/32, Validation Accuracy: 0.67
2025-03-30 21:34:42,757 - Model saved to model.pth
2025-03-30 21:34:42,757 - Training completed in 41 minutes and 28 seconds.
